"politician_name";"party_name_short";"party_name";"lrgen";"lrecon";"galtan"
"roger van boxtel";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"halbe zijlstra";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"pim van strien";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"attiya gamri";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"peter de groot";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"henk nijboer";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"esmah lahlah";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"attje kuiken";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"jeroen dijsselbloem";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"ingrid michon";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"diederik samsom";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"jan rijpstra";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jaap smit";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"rené verhulst";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"sietse fritsma";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"susanne schilderman";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"wouter koolmees";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"jet bussemaker";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"joey koops";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"mark buck";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"marjolein moorman";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"tiny kox";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"ilona lagas";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"hendrik-jan talsma";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"bas van den tillaar";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"gouke moes";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"robert kaijser";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"fred teeven";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"heidi looy";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"danny de vries";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"ingrid de sain";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"farah karimi";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"jan van zanen";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"corinne ellemeet";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"frits naafs";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"frank van der meijden";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"jan tinbergen";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"emile roemer";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"frans weekers";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jeanine hennis-plasschaert";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"lilian helder";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"eric wiebes";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"bart groothuis";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"pieter grinwis";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"silvio erkens";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jouke de vries";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"raoul boucke";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"jean paul gebben";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
